# a, ell, eps, acc_rate, tau_int, tau_int_err
1.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e-01 7.432222222222222285e-01 1.910578291395214290e+00 1.114049010846122290e+00
8.166666666666666519e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.498000000000000220e-01 1.876620371107236007e+00 1.094248310881303032e+00
6.333333333333333037e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.496000000000000441e-01 1.876878386202416316e+00 1.094398758242117076e+00
4.500000000000000111e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.486222222222221889e-01 1.874880345284118288e+00 1.093233710194264185e+00
4.000000000000000222e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.477777777777777635e-01 1.882442859656147327e+00 1.097643375945001942e+00
3.611111111111111049e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.482444444444444898e-01 1.879195848127086954e+00 1.095750059142206023e+00
3.222222222222222432e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.503777777777778102e-01 1.865512607571739423e+00 1.087771427397823176e+00
2.833333333333333259e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.505555555555555314e-01 1.872106849552476415e+00 1.091616498175087990e+00
2.444444444444444642e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.432444444444444853e-01 1.900787359497456031e+00 1.108339965555968698e+00
2.055555555555555469e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.483777777777778084e-01 1.875482275379307229e+00 1.093584692737174846e+00
1.666666666666666852e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.463777777777778066e-01 1.893612333067716147e+00 1.104156242160363011e+00
1.277777777777777679e-01 2.000000000000000000e+00 5.000000000000000000e-01 7.471999999999999753e-01 1.876571842471246754e+00 1.094220014067105451e+00
8.888888888888889228e-02 2.000000000000000000e+00 5.000000000000000000e-01 7.487333333333333618e-01 1.846748833147131119e+00 1.076830360794261310e+00
5.000000000000000278e-02 2.000000000000000000e+00 5.000000000000000000e-01 7.466222222222221871e-01 1.910822719237154743e+00 1.114191535544933886e+00
